size,Triton (GB/s),Torch (GB/s)
4096.000000,6.269388,6.269388
8192.000000,12.538775,12.538775
16384.000000,25.077551,25.077551
32768.000000,50.155101,50.155101
65536.000000,100.310203,100.310203
131072.000000,192.752947,192.752947
262144.000000,364.088903,364.088903
524288.000000,634.219349,634.219349
1048576.000000,883.631436,883.631436
2097152.000000,1069.975498,1055.613385
4194304.000000,1196.094295,1180.371906
8388608.000000,1260.812873,1248.304714
16777216.000000,1297.207384,1277.452991
33554432.000000,1308.675149,1287.254465
67108864.000000,1311.744858,1291.548541
134217728.000000,1313.713540,1293.456529
